arch,target,n_samples,dist_ratio,inter_dist,intra_dist,zero_shot_auc,best_method,best_auc,improvement_over_zs,auc_vanilla_ft,auc_ft_source_reg,auc_mkmmd,auc_coral,auc_cc_dann
resnet50,XR_HAND,500,0.37218596440440244,6.0179853439331055,16.169296845574603,0.6559089400417812,vanilla_ft,0.7471608843072558,0.09125194426547456,0.7471608843072558,0.7398881925327191,0.6608647832510071,0.6819539623967668,0.6645613281529641
swin_t,XR_ELBOW,50,0.3098072326850636,6.0705060958862305,19.594462144010585,0.8397594819611471,ft_source_reg,0.8354270736971939,-0.0043324082639532024,0.8238544557508479,0.8354270736971939,0.8298643231575701,0.8177952513105149,0.8162072155411657
swin_t,XR_ELBOW,100,0.3098072326850636,6.0705060958862305,19.594462144010585,0.8397594819611471,ft_source_reg,0.8486185630588962,0.008859081097749022,0.8472525439407956,0.8486185630588962,0.8232038236201049,0.8174375578168362,0.807027443724946
swin_t,XR_ELBOW,200,0.3098072326850636,6.0705060958862305,19.594462144010585,0.8397594819611471,ft_source_reg,0.8457786000616713,0.0060191181005241345,0.835886524822695,0.8457786000616713,0.8182577860006167,0.8423034227567067,0.6872432932469934
swin_t,XR_ELBOW,500,0.3098072326850636,6.0705060958862305,19.594462144010585,0.8397594819611471,vanilla_ft,0.8551372186247302,0.015377736663583108,0.8551372186247302,0.8482824545174221,0.8360160345359237,0.8319611470860315,0.7302898550724638
swin_t,XR_SHOULDER,50,0.466063909527272,10.195012092590332,21.87470833832742,0.5917139972232739,ft_source_reg,0.6781627329715176,0.08644873574824374,0.6704657326770164,0.6781627329715176,0.6082186882073288,0.5671925617400816,0.6065589633556313
swin_t,XR_SHOULDER,100,0.466063909527272,10.195012092590332,21.87470833832742,0.5917139972232739,vanilla_ft,0.6855378854810888,0.09382388825781496,0.6855378854810888,0.6824708654129329,0.6508582607598132,0.6025095712903362,0.5873238251504059
swin_t,XR_SHOULDER,200,0.466063909527272,10.195012092590332,21.87470833832742,0.5917139972232739,ft_source_reg,0.6988872060246539,0.10717320880138004,0.6864340106861878,0.6988872060246539,0.6574719172030797,0.5951617653245824,0.5706824014472632
swin_t,XR_SHOULDER,500,0.466063909527272,10.195012092590332,21.87470833832742,0.5917139972232739,vanilla_ft,0.7060583112457403,0.11434431402246636,0.7060583112457403,0.7028251083343852,0.6455951028650765,0.6056796667928815,0.5905927889267533
swin_t,XR_HAND,50,0.33140478137417895,6.843400001525879,20.649671890174567,0.7421074210742107,coral,0.7271064774139805,-0.015000943660230193,0.6994474706651829,0.6838575528612428,0.7206440318371438,0.7271064774139805,0.6532601833954848
swin_t,XR_HAND,100,0.33140478137417895,6.843400001525879,20.649671890174567,0.7421074210742107,coral,0.7252159029526802,-0.016891518121530447,0.678507975555946,0.67851122955674,0.7127953819220733,0.7252159029526802,0.6357276271175408
swin_t,XR_HAND,200,0.33140478137417895,6.843400001525879,20.649671890174567,0.7421074210742107,coral,0.7338910690694208,-0.008216352004789873,0.7146664323786095,0.7096943191654139,0.7163845447978291,0.7338910690694208,0.6227051159400482
swin_t,XR_HAND,500,0.33140478137417895,6.843400001525879,20.649671890174567,0.7421074210742107,coral,0.7310828663842194,-0.011024554689991306,0.7174453490566651,0.7159615246946122,0.7085912128962558,0.7310828663842194,0.6298801876907657
